job_id,industry,job_title,skills_required,experience_level,posted_date,company_size,salary_range_usd,salary_min,salary_max,salary_avg,year
1,Healthcare,Data Analyst,"Numpy, Reinforcement Learning, Pytorch, Scikit-Learn, Gcp, Fastapi",Mid,2025-08-20,Large,92860-109598,92860,109598,101229.0,2025
2,Tech,Computer Vision Engineer,"Scikit-Learn, Cuda, Sql, Pandas",Senior,2024-03-22,Large,78523-144875,78523,144875,111699.0,2024
3,Tech,Quant Researcher,"Mlflow, Fastapi, Azure, Pytorch, Sql, Gcp",Entry,2025-09-18,Large,124496-217204,124496,217204,170850.0,2025
4,Tech,Ai Product Manager,"Scikit-Learn, C++, Pandas, Langchain, Aws, R",Mid,2024-05-08,Large,50908-123743,50908,123743,87325.5,2024
5,Finance,Data Scientist,"Excel, Keras, Sql, Hugging Face",Senior,2025-02-24,Large,98694-135413,98694,135413,117053.5,2025
6,E-Commerce,Ai Product Manager,"Gcp, Excel, Scikit-Learn, Mlflow",Senior,2025-08-07,Large,92632-180718,92632,180718,136675.0,2025
7,Automotive,Data Analyst,"Python, Flask, Scikit-Learn, Gcp",Mid,2024-12-23,Large,70575-88594,70575,88594,79584.5,2024
8,Education,Data Scientist,"Excel, Sql, Flask",Entry,2024-08-14,Large,63032-82144,63032,82144,72588.0,2024
9,Healthcare,Ml Engineer,"Pandas, Langchain, Gcp, Azure",Entry,2025-09-15,Large,134239-188504,134239,188504,161371.5,2025
10,Automotive,Computer Vision Engineer,"Excel, Reinforcement Learning, Tensorflow",Senior,2025-08-07,Large,79361-165029,79361,165029,122195.0,2025
11,Tech,Data Scientist,"Keras, Mlflow, Reinforcement Learning",Entry,2024-01-10,Large,99964-125971,99964,125971,112967.5,2024
12,Finance,Ml Engineer,"Excel, Reinforcement Learning, Keras, Scikit-Learn",Entry,2024-03-15,Large,63583-132670,63583,132670,98126.5,2024
13,E-Commerce,Nlp Engineer,"C++, Hugging Face, Python, Fastapi",Entry,2023-09-27,Startup,102770-117026,102770,117026,109898.0,2023
14,Retail,Quant Researcher,"Excel, Mlflow, Numpy, Hugging Face, Langchain, Fastapi",Senior,2024-11-20,Mid,137004-193975,137004,193975,165489.5,2024
15,Education,Nlp Engineer,"Pandas, Cuda, Numpy, Fastapi",Mid,2024-07-08,Large,129842-216741,129842,216741,173291.5,2024
16,Automotive,Nlp Engineer,"Hugging Face, Scikit-Learn, Reinforcement Learning",Senior,2024-04-06,Startup,124669-217866,124669,217866,171267.5,2024
17,E-Commerce,Ml Engineer,"Mlflow, R, C++",Entry,2025-05-14,Mid,137523-180097,137523,180097,158810.0,2025
18,Automotive,Ai Product Manager,"Excel, Mlflow, Hugging Face, Flask, Power Bi",Entry,2024-04-29,Startup,138184-192857,138184,192857,165520.5,2024
19,Healthcare,Data Scientist,"Aws, Azure, Power Bi, Cuda, Reinforcement Learning, Hugging Face",Senior,2024-10-19,Mid,100845-159745,100845,159745,130295.0,2024
20,E-Commerce,Ml Engineer,"R, Cuda, Power Bi, Aws",Mid,2024-08-29,Large,115578-207180,115578,207180,161379.0,2024
21,Retail,Quant Researcher,"C++, Power Bi, R, Sql, Keras, Azure",Entry,2024-01-19,Large,122521-175168,122521,175168,148844.5,2024
22,Retail,Quant Researcher,"Langchain, Numpy, Cuda, C++, Mlflow, R",Entry,2023-12-28,Large,62483-105216,62483,105216,83849.5,2023
